nombre,nota1,nota2,nota3
Valentina Mendoza 619,6.9,6.7,6.4
Andres Mendoza 620,9.8,9.3,6.3
Ana Vargas 621,9.6,8.9,9.1
Luis Vargas 622,9.5,8.5,7.2
Maria Vargas 623,4.6,4.8,8.6
Carlos Vargas 624,6.8,4.9,7.7
Sofia Vargas 625,4.4,9.4,4.6
Pedro Vargas 626,8.2,8.9,9.5
Lucia Vargas 627,6.6,4.3,9.4
Diego Vargas 628,7.8,5.7,4.9
Valentina Vargas 629,8.0,4.1,6.3
Andres Vargas 630,7.8,7.1,9.9
Ana Ruiz 631,8.1,4.9,4.8
Luis Ruiz 632,4.6,6.0,5.0
Maria Ruiz 633,7.1,7.7,7.9
Carlos Ruiz 634,5.5,5.5,8.2
Sofia Ruiz 635,5.3,4.7,6.2
Pedro Ruiz 636,6.2,4.0,4.7
Lucia Ruiz 637,7.7,4.7,9.3
Diego Ruiz 638,9.0,4.6,4.1
Valentina Ruiz 639,6.2,6.4,5.2
Andres Ruiz 640,5.1,7.1,4.1
Ana Lopez 641,6.3,4.6,5.2
Luis Lopez 642,9.8,7.9,5.8
Maria Lopez 643,8.6,5.9,8.3
Carlos Lopez 644,7.0,7.9,8.0
Sofia Lopez 645,7.8,4.8,9.4
Pedro Lopez 646,5.8,9.9,7.7
Lucia Lopez 647,4.7,4.1,8.7
Diego Lopez 648,8.6,4.9,6.5
Valentina Lopez 649,9.4,7.7,9.5
Andres Lopez 650,5.2,7.8,5.4
Ana Garcia 651,4.4,5.7,9.6
Luis Garcia 652,10.0,8.9,4.7
Maria Garcia 653,5.8,4.1,4.9
Carlos Garcia 654,7.1,5.0,6.9
Sofia Garcia 655,5.6,9.3,9.0
Pedro Garcia 656,8.7,9.7,6.5
Lucia Garcia 657,6.3,5.3,6.2
Diego Garcia 658,4.0,8.4,8.7
Valentina Garcia 659,8.3,6.3,5.0
Andres Garcia 660,10.0,4.0,7.0
Ana Perez 661,9.0,5.0,9.2
Luis Perez 662,7.4,4.3,8.5
Maria Perez 663,6.4,9.4,7.1
Carlos Perez 664,7.7,4.3,4.4
Sofia Perez 665,9.2,5.3,4.4
Pedro Perez 666,7.6,5.6,4.0
Lucia Perez 667,4.2,6.8,4.8
Diego Perez 668,7.5,7.5,5.4
Valentina Perez 669,8.2,6.2,7.3
Andres Perez 670,7.5,4.3,9.8
Ana Sanchez 671,9.2,9.2,5.5
Luis Sanchez 672,9.4,8.2,4.9
Maria Sanchez 673,7.7,8.6,9.3
Carlos Sanchez 674,6.4,8.9,9.4
Sofia Sanchez 675,6.6,10.0,7.0
Pedro Sanchez 676,5.8,9.2,9.9
Lucia Sanchez 677,4.8,8.0,5.5
Diego Sanchez 678,4.1,8.1,4.4
Valentina Sanchez 679,5.1,5.9,5.3
Andres Sanchez 680,5.5,5.8,8.4
Ana Gomez 681,8.6,9.6,9.5
Luis Gomez 682,6.4,9.3,9.7
Maria Gomez 683,8.6,7.6,8.4
Carlos Gomez 684,8.8,5.1,4.8
Sofia Gomez 685,8.1,5.0,4.2
Pedro Gomez 686,6.2,6.8,7.2
Lucia Gomez 687,9.1,4.3,4.0
Diego Gomez 688,7.8,5.3,9.6
Valentina Gomez 689,9.5,7.6,7.8
Andres Gomez 690,6.3,9.6,8.2
Ana Diaz 691,5.8,7.6,4.2
Luis Diaz 692,9.5,4.3,6.2
Maria Diaz 693,9.9,7.6,5.6
Carlos Diaz 694,4.6,8.3,8.2
Sofia Diaz 695,7.0,8.7,9.5
Pedro Diaz 696,8.2,4.5,5.9
Lucia Diaz 697,5.1,9.7,5.5
Diego Diaz 698,9.1,9.1,5.6
Valentina Diaz 699,9.3,8.0,8.0
Andres Diaz 700,8.2,4.2,7.3
Ana Torres 701,4.6,8.1,8.3
Luis Torres 702,7.0,5.6,6.0
Maria Torres 703,4.5,8.5,8.5
Carlos Torres 704,8.1,7.9,7.8
Sofia Torres 705,4.2,8.5,6.6
Pedro Torres 706,6.2,9.0,4.0
Lucia Torres 707,5.5,6.7,7.4
Diego Torres 708,5.4,6.7,8.4
Valentina Torres 709,4.9,4.2,8.1
Andres Torres 710,7.6,6.0,5.6
Ana Mendoza 711,5.1,6.8,5.1
Luis Mendoza 712,8.5,9.2,9.6
Maria Mendoza 713,6.2,4.9,9.2
Carlos Mendoza 714,7.6,4.5,6.9
Sofia Mendoza 715,9.5,9.0,8.9
Pedro Mendoza 716,8.3,9.8,5.2
Lucia Mendoza 717,9.8,7.3,9.8
Diego Mendoza 718,4.2,8.3,5.9
Valentina Mendoza 719,8.4,4.6,8.6
Andres Mendoza 720,4.7,6.5,6.5
Ana Vargas 721,7.2,8.0,4.3
Luis Vargas 722,4.2,4.1,4.2
Maria Vargas 723,8.9,5.6,9.6
Carlos Vargas 724,6.7,9.0,6.5
Sofia Vargas 725,4.6,6.3,9.0
Pedro Vargas 726,8.5,9.4,7.1
Lucia Vargas 727,7.1,5.1,8.6
Diego Vargas 728,7.4,4.1,6.4
Valentina Vargas 729,7.0,9.8,5.1
Andres Vargas 730,6.6,8.0,8.4
Ana Ruiz 731,8.3,4.4,8.6
Luis Ruiz 732,4.0,4.6,7.0
Maria Ruiz 733,4.1,5.8,6.9
Carlos Ruiz 734,9.4,9.2,9.6
Sofia Ruiz 735,9.6,6.2,8.7
Pedro Ruiz 736,9.5,7.8,9.4
Lucia Ruiz 737,4.3,7.4,5.0
Diego Ruiz 738,7.2,8.2,8.8
Valentina Ruiz 739,4.2,6.9,8.1
Andres Ruiz 740,4.5,6.8,8.6
Ana Lopez 741,8.3,5.3,5.4
Luis Lopez 742,8.3,5.2,9.6
Maria Lopez 743,7.2,7.1,7.4
Carlos Lopez 744,6.8,6.9,4.1
Sofia Lopez 745,4.0,4.1,9.8
Pedro Lopez 746,9.0,4.1,5.8
Lucia Lopez 747,8.8,6.7,8.2
Diego Lopez 748,9.2,6.1,8.9
Valentina Lopez 749,5.5,8.3,5.6
Andres Lopez 750,9.8,8.5,8.4
Ana Garcia 751,8.9,5.0,8.7
Luis Garcia 752,6.0,5.1,5.1
Maria Garcia 753,4.4,4.1,6.8
Carlos Garcia 754,7.5,6.7,9.9
Sofia Garcia 755,7.6,8.9,7.5
Pedro Garcia 756,9.5,9.2,7.9
Lucia Garcia 757,5.9,5.2,10.0
Diego Garcia 758,9.4,7.9,5.9
Valentina Garcia 759,10.0,5.6,5.9
Andres Garcia 760,5.7,8.7,8.5
Ana Perez 761,6.2,4.7,8.9
Luis Perez 762,8.1,5.9,6.0
Maria Perez 763,7.7,6.4,9.0
Carlos Perez 764,6.3,5.0,6.5
Sofia Perez 765,4.0,8.1,4.8
Pedro Perez 766,5.4,7.0,5.2
Lucia Perez 767,8.6,8.8,6.2
Diego Perez 768,6.2,7.9,6.7
Valentina Perez 769,7.5,9.4,7.1
Andres Perez 770,9.7,8.9,9.9
Ana Sanchez 771,8.3,7.2,6.3
Luis Sanchez 772,7.9,6.6,9.9
Maria Sanchez 773,10.0,4.5,6.5
Carlos Sanchez 774,7.7,7.5,9.1
Sofia Sanchez 775,4.2,7.1,7.0
Pedro Sanchez 776,4.5,7.7,9.9
Lucia Sanchez 777,6.5,8.9,8.2
Diego Sanchez 778,6.8,9.6,5.7
Valentina Sanchez 779,7.9,6.7,5.5
Andres Sanchez 780,8.2,6.6,10.0
Ana Gomez 781,9.2,8.9,9.3
Luis Gomez 782,8.6,7.1,7.2
Maria Gomez 783,4.6,9.2,5.6
Carlos Gomez 784,7.1,4.7,4.5
Sofia Gomez 785,7.9,4.1,6.4
Pedro Gomez 786,9.9,6.3,9.3
Lucia Gomez 787,8.2,5.4,5.2
Diego Gomez 788,8.2,8.6,5.8
Valentina Gomez 789,10.0,6.9,8.6
Andres Gomez 790,5.9,6.2,8.6
Ana Diaz 791,8.4,10.0,5.7
Luis Diaz 792,6.4,9.8,7.5
Maria Diaz 793,4.7,8.1,7.7
Carlos Diaz 794,6.7,4.4,4.9
Sofia Diaz 795,9.8,4.7,9.4
Pedro Diaz 796,9.1,9.0,6.9
Lucia Diaz 797,8.4,9.6,7.0
Diego Diaz 798,6.2,7.9,4.2
Valentina Diaz 799,7.1,5.3,5.0
Andres Diaz 800,7.6,6.6,6.1
Ana Torres 801,4.9,8.7,7.5
Luis Torres 802,9.5,7.7,7.9
Maria Torres 803,4.8,6.3,4.5
Carlos Torres 804,5.9,6.5,6.6
Sofia Torres 805,4.4,8.6,8.4
Pedro Torres 806,7.9,4.6,4.9
Lucia Torres 807,7.7,8.1,4.3
Diego Torres 808,9.0,9.6,5.2
Valentina Torres 809,8.0,6.1,6.1
Andres Torres 810,6.1,5.1,4.5
Ana Mendoza 811,8.4,7.7,5.0
Luis Mendoza 812,7.3,5.2,4.7
Maria Mendoza 813,5.8,8.8,8.4
Carlos Mendoza 814,4.7,8.0,4.1
Sofia Mendoza 815,6.0,7.8,5.2
Pedro Mendoza 816,7.1,8.0,8.9
Lucia Mendoza 817,4.9,9.7,7.3
Diego Mendoza 818,6.0,5.8,4.9
Valentina Mendoza 819,4.1,5.3,5.5
Andres Mendoza 820,6.5,8.3,9.4
Ana Vargas 821,8.9,7.4,7.9
Luis Vargas 822,6.9,9.9,8.7
Maria Vargas 823,4.0,6.2,6.9
Carlos Vargas 824,4.1,9.7,10.0
Sofia Vargas 825,4.1,6.5,6.6
Pedro Vargas 826,9.6,8.5,5.6
Lucia Vargas 827,8.0,8.3,5.2
Diego Vargas 828,5.1,8.4,8.5
Valentina Vargas 829,6.6,8.8,8.5
Andres Vargas 830,9.4,5.5,5.0
Ana Ruiz 831,7.3,9.0,9.9
Luis Ruiz 832,7.9,4.5,4.1
Maria Ruiz 833,6.0,5.7,4.8
Carlos Ruiz 834,8.7,6.3,5.9
Sofia Ruiz 835,6.1,5.0,4.4
Pedro Ruiz 836,8.2,9.5,7.2
Lucia Ruiz 837,9.7,9.8,5.7
Diego Ruiz 838,5.8,6.7,9.6
Valentina Ruiz 839,8.6,6.1,6.8
Andres Ruiz 840,7.6,9.9,8.4
Ana Lopez 841,5.3,6.0,7.8
Luis Lopez 842,10.0,9.3,5.0
Maria Lopez 843,6.2,4.0,4.7
Carlos Lopez 844,4.2,5.7,7.6
Sofia Lopez 845,7.0,4.8,4.4
Pedro Lopez 846,9.6,5.6,6.1
Lucia Lopez 847,4.5,4.4,8.2
Diego Lopez 848,6.4,6.2,6.1
Valentina Lopez 849,5.3,5.3,9.8
Andres Lopez 850,4.6,5.2,8.9
Ana Garcia 851,7.7,6.1,4.5
Luis Garcia 852,9.0,9.6,6.3
Maria Garcia 853,8.9,7.1,5.5
Carlos Garcia 854,8.7,5.7,8.6
Sofia Garcia 855,4.6,9.2,5.9
Pedro Garcia 856,5.9,5.4,5.6
Lucia Garcia 857,7.4,7.7,7.9
Diego Garcia 858,8.3,9.8,7.0
Valentina Garcia 859,8.5,8.1,9.6
Andres Garcia 860,9.8,7.6,7.4
Ana Perez 861,7.9,4.1,4.4
Luis Perez 862,7.5,6.6,4.2
Maria Perez 863,6.0,6.6,7.4
Carlos Perez 864,9.1,6.4,4.9
Sofia Perez 865,5.0,4.1,9.1
Pedro Perez 866,6.9,6.2,9.2
Lucia Perez 867,9.9,5.8,5.7
Diego Perez 868,9.2,8.0,5.3
Valentina Perez 869,9.6,5.7,7.7
Andres Perez 870,8.9,5.7,6.3
Ana Sanchez 871,6.7,5.5,7.9
Luis Sanchez 872,7.8,5.7,4.5
Maria Sanchez 873,7.7,7.2,8.3
Carlos Sanchez 874,6.3,7.8,5.9
Sofia Sanchez 875,5.4,6.6,9.1
Pedro Sanchez 876,5.1,5.1,9.6
Lucia Sanchez 877,8.8,5.4,4.9
Diego Sanchez 878,4.9,8.0,4.9
Valentina Sanchez 879,5.4,9.8,9.0
Andres Sanchez 880,8.7,4.9,7.7
Ana Gomez 881,5.5,6.5,7.1
Luis Gomez 882,6.6,9.3,9.5
Maria Gomez 883,8.3,9.7,4.4
Carlos Gomez 884,6.8,5.1,4.8
Sofia Gomez 885,8.4,7.2,5.8
Pedro Gomez 886,8.4,5.0,8.5
Lucia Gomez 887,7.0,6.7,5.6
Diego Gomez 888,5.0,4.3,4.2
Valentina Gomez 889,9.4,7.3,7.8
Andres Gomez 890,6.4,8.7,7.7
Ana Diaz 891,5.4,4.7,8.5
Luis Diaz 892,8.5,7.7,9.1
Maria Diaz 893,9.5,5.2,8.1
Carlos Diaz 894,7.4,9.2,7.1
Sofia Diaz 895,9.2,7.3,9.5
Pedro Diaz 896,5.1,4.5,7.0
Lucia Diaz 897,7.9,8.5,7.1
Diego Diaz 898,7.5,6.9,6.4
Valentina Diaz 899,7.4,6.4,8.1
Andres Diaz 900,8.7,8.3,4.8
Ana Torres 901,7.8,4.1,6.9
Luis Torres 902,6.4,7.7,5.3
Maria Torres 903,5.5,4.0,7.8
Carlos Torres 904,4.3,9.2,4.1
Sofia Torres 905,5.1,6.2,10.0
Pedro Torres 906,6.0,5.8,5.4
Lucia Torres 907,9.3,7.2,6.6
Diego Torres 908,8.2,6.5,9.6
Valentina Torres 909,7.9,5.0,9.5
Andres Torres 910,9.1,8.2,5.0
Ana Mendoza 911,8.3,5.8,8.6
Luis Mendoza 912,8.7,4.6,4.7
Maria Mendoza 913,7.2,8.6,9.6
Carlos Mendoza 914,7.7,9.3,8.4
Sofia Mendoza 915,5.8,6.9,9.0
Pedro Mendoza 916,7.1,6.1,8.3
Lucia Mendoza 917,6.4,8.2,9.6
Diego Mendoza 918,9.9,8.1,9.6
Valentina Mendoza 919,8.6,5.1,7.7
Andres Mendoza 920,6.3,6.4,6.5
Ana Vargas 921,4.8,5.0,7.0
Luis Vargas 922,8.4,5.8,4.2
Maria Vargas 923,5.5,5.8,4.6
Carlos Vargas 924,7.3,8.4,4.7
Sofia Vargas 925,4.8,8.5,9.6
Pedro Vargas 926,9.6,6.3,9.6
Lucia Vargas 927,6.2,7.7,5.4
Diego Vargas 928,4.5,8.0,7.3
Valentina Vargas 929,6.8,8.6,7.4
Andres Vargas 930,6.6,9.2,6.6
Ana Ruiz 931,7.4,7.4,5.5
Luis Ruiz 932,6.9,5.5,7.0
Maria Ruiz 933,9.4,9.0,8.7
Carlos Ruiz 934,8.3,7.8,9.1
Sofia Ruiz 935,5.4,9.8,7.8
Pedro Ruiz 936,8.3,9.6,4.3
Lucia Ruiz 937,9.8,10.0,6.7
Diego Ruiz 938,5.4,9.5,7.1
Valentina Ruiz 939,6.5,6.8,4.2
Andres Ruiz 940,6.2,6.9,7.1
Ana Lopez 941,4.3,7.9,7.6
Luis Lopez 942,9.5,9.4,7.1
Maria Lopez 943,8.0,7.8,4.6
Carlos Lopez 944,9.6,8.3,4.1
Sofia Lopez 945,9.7,5.1,8.4
Pedro Lopez 946,8.4,8.3,8.0
Lucia Lopez 947,6.0,8.2,8.1
Diego Lopez 948,5.2,8.0,5.5
Valentina Lopez 949,9.2,4.6,4.9
Andres Lopez 950,9.8,5.1,4.5
Ana Garcia 951,4.1,5.3,7.5
Luis Garcia 952,8.0,7.5,8.2
Maria Garcia 953,8.2,7.3,5.3
Carlos Garcia 954,5.5,7.5,5.8
Sofia Garcia 955,7.8,4.5,9.8
Pedro Garcia 956,4.3,9.9,9.0
Lucia Garcia 957,8.4,6.5,7.6
Diego Garcia 958,6.0,9.6,5.4
Valentina Garcia 959,6.3,7.9,9.1
Andres Garcia 960,5.4,5.4,8.4
Ana Perez 961,9.7,6.4,8.1
Luis Perez 962,8.8,4.3,4.4
Maria Perez 963,4.6,6.2,5.9
Carlos Perez 964,9.3,7.6,6.7
Sofia Perez 965,9.4,9.9,8.2
Pedro Perez 966,6.0,9.7,9.5
Lucia Perez 967,5.4,5.1,7.8
Diego Perez 968,9.2,8.5,9.9
Valentina Perez 969,4.6,8.9,6.0
Andres Perez 970,8.1,8.4,9.4
Ana Sanchez 971,9.0,9.2,6.3
Luis Sanchez 972,8.0,4.4,6.7
Maria Sanchez 973,7.4,4.3,6.6
Carlos Sanchez 974,7.0,8.7,4.8
Sofia Sanchez 975,6.6,6.7,6.9
Pedro Sanchez 976,6.1,6.3,7.3
Lucia Sanchez 977,9.0,5.3,4.7
Diego Sanchez 978,4.9,9.6,8.3
Valentina Sanchez 979,5.2,6.8,6.6
Andres Sanchez 980,7.4,8.3,8.2
Ana Gomez 981,8.4,8.4,6.2
Luis Gomez 982,6.2,4.6,9.0
Maria Gomez 983,7.9,8.6,4.8
Carlos Gomez 984,4.5,9.2,8.0
Sofia Gomez 985,5.2,5.0,6.9
Pedro Gomez 986,9.1,9.1,7.3
Lucia Gomez 987,5.8,9.4,7.1
Diego Gomez 988,6.1,8.9,9.8
Valentina Gomez 989,8.7,8.3,8.6
Andres Gomez 990,4.3,8.1,5.9
Ana Diaz 991,4.4,4.4,9.6
Luis Diaz 992,5.1,7.4,5.5
Maria Diaz 993,4.5,5.1,6.5
Carlos Diaz 994,7.1,4.6,8.8
Sofia Diaz 995,5.5,5.6,7.3
Pedro Diaz 996,6.9,9.2,6.9
Lucia Diaz 997,8.9,7.3,6.4
Diego Diaz 998,6.7,6.2,7.0
Valentina Diaz 999,6.4,5.2,4.4
Andres Diaz 1000,8.9,7.3,5.1
